,Generation,brand,gen,model,Model_Number
92,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
93,7th Gen AMD Ryzen 7 7735HS,AMD,7th,Ryzen 7,7735HS
94,11th Gen Intel Core i5 11400H ,Intel,11th,i5,11400H
95,13th Gen Intel Core i7 13700HX,Intel,13th,i7,13700HX
96,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
97,3rd Gen AMD Ryzen 3 3250U,AMD,3rd,Ryzen 3,3250U
98,7th Gen AMD Ryzen 5 7530U,AMD,7th,Ryzen 5,7530U
99,12th Gen Intel Core i7 12650H,Intel,12th,i7,12650H
100,12th Gen Intel Core i5 1235U ,Intel,12th,i5,1235U
101,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
102,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
103,6th Gen AMD Ryzen 9 6900HS,AMD,6th,Ryzen 9,6900HS
104,5th Gen AMD Ryzen 5 5600H,AMD,5th,Ryzen 5,5600H
105,5th Gen AMD Ryzen 7  5800H,AMD,5th,Ryzen 7,5800H
106,5th Gen AMD Ryzen 5 5600H ,AMD,5th,Ryzen 5,5600H
107,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
108,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
109,Intel Atom Quad Core Z3735F,Intel,None,Atom Quad Core,Z3735F
110,Qualcomm X Elite NA,Qualcom,None,X Elite,NA
111,13th Gen Intel Core i5 13420H,Intel,13th,i5,13420H
112,13th Gen Intel Core i5 13420H,Intel,13th,i5,13420H
113,14th Gen Intel Core i9 14900HX,Intel,14th,i9,14900HX
114,Intel Core Ultra 7 155U,Intel,None,Ultra 7,155U
115,13th Gen Intel Core i7 1360P,Intel,13th,i7,1360P
116,13th Gen Intel Core i7 1360P,Intel,13th,i7,1360P
117,Intel Core Ultra 7 155U,Intel,None,Ultra 7,155U
118,Intel Core Ultra 7 155U,Intel,None,Ultra 7,155U
119,8th Gen AMD Ryzen 7 8845HS,AMD,8th,Ryzen 7,8845HS
120,Apple M3,Apple,None,M3,M3
121,Apple M3,Apple,None,M3,M3
122,Apple M3,Apple,None,M3,M3
123,Apple M3,Apple,None,M3,M3
124,14th Gen Intel Core i7 14700HX,Intel,14th,i7,14700HX
125,Intel Core Ultra 5 Series 1 125H,Intel,None,Ultra 5,125H
126,Intel Core Ultra 5 Series 1 125H,Intel,None,Ultra 5,125H
127,14th Gen Intel Core i9 14900HX,Intel,14th,i9,14900HX
128,Intel Core 7 Processor Series 1 150U,Intel,None,None,150U
129,Intel Core Ultra 7 Series 1 155H,Intel,None,Ultra 7,155H
130,Intel Core 7 Processor Series 1 150U,Intel,None,None,150U
131,Intel Core 5 Processor Series 1 120U,Intel,None,None,120U
132,Intel Core Ultra 7 Series 1 155H,Intel,None,Ultra 7,155H
